"Sys","Sys","GasEx","GasEx","GasEx","GasEx","GasEx","GasEx","GasEx","GasEx","GasEx","GasEx","GasEx","GasEx","GasEx","GasEx","GasEx","GasEx","LeafQ","Const","Const","Meas","Meas","Meas","Meas","Meas","Meas","Meas","Meas","Meas","Status","Status","plant specification","plant specification","plant specification","plant specification","plant specification","in","in","calibrated TDL","calibrated TDL (sample)","calibrated TDL (sample)","calibrated TDL (sample)","calibrated TDL (sample)","calibrated TDL (sample)","calibrated TDL (sample)","calibrated TDL (reference)","calibrated TDL (reference)","calibrated TDL (reference)","calibrated TDL (reference)","calibrated TDL (reference)","calibrated TDL (reference)","calculated","calculated","calculated","calculated","calculated","calculated","calculated","calculated","calculated","calculated","calculated","calculated","calculated","calculated","calculated","calculated","calculated","calculated","calculated","calculated","calculated","calculated","calculated"
"obs","time","E","A","Ca","Ci","Pci","Pca","gsw","gbw","gtw","gtc","TleafCnd","SVPleaf","RHcham","VPcham","SVPcham","VPDleaf","Qin","S","K","CO2_s","CO2_r","H2O_s","H2O_r","Flow","Pa","DeltaPcham","Tair","Tleaf","Flow_s","Flow_r","genotype","event","replicate","event_rep","original_file","Oxygen","respiration","cycle_num","valve_number_s","tdl_time_s","calibrated_12c_s","calibrated_13c_s","total_mixing_ratio_s","total_isotope_ratio_s","valve_number_r","tdl_time_r","calibrated_12c_r","calibrated_13c_r","total_mixing_ratio_r","total_isotope_ratio_r","Cs_licor","Ce_licor","ppO2","gsc","gbc","Csurface","ppCO2_s","ppCO2_r","ppCO2_surface","ppCO2_i","xsi_LICOR","xsi_TDL","a_bar","t","gamma_star","e","delta_tdl","delta_i","delta_e","delta_f","equation_top","delta_difference","gmc"
"NA","s","mol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol mol^(-1)","micromol mol^(-1)","Pa","Pa","mol m^(-2) s^(-1)","mol m^(-2) s^(-1)","mol m^(-2) s^(-1)","mol m^(-2) s^(-1)","degrees C","kPa","%","kPa","kPa","kPa","micromol m^(-2) s^(-1)","cm^2","NA","micromol mol^(-1)","micromol mol^(-1)","mmol mol^(-1)","mmol mol^(-1)","micromol s^(-1)","kPa","kPa","degrees C","degrees C","micromol s^(-1)","micromol s^(-1)","","","","","","%","micromol m^(-2) s^(-1)","","","","ppm","ppm","ppm","ppt","","","ppm","ppm","ppm","ppt","micromol mol^(-1)","micromol mol^(-1)","bar","mol m^(-2) s^(-1)","mol m^(-2) s^(-1)","micromol mol^(-1)","bar","bar","bar","bar","","","","","bar","","ppt","ppt","ppt","ppt","","ppt","mol m^(-2) s^(-1) bar^(-1)"
"9","2021-04-12 10:52:04","0.00670987288526635","47.3503059198911","399.997322580645","217.822089133023","21.4622386706405","39.412155300743","0.467118098763583","2.90174920019067","0.429007179821926","0.271294016447221","25.0114387096774","3.1818466665597","51.2883561667952","1.67878629487074","3.27323084680497","1.50306037168896","1799.99741935484","6","0.5","399.997322580645","460.037419354839","17.0381451612903","9.1236164516129","500.008225806452","98.4310548387097","0.099992935483871","25.4872741935484","25.0114387096774","356.103","381.946","36625","17","3","17-3","C:\Users\eloch\Box Sync\Coralie things\2021-08-09 gm analysis\2021-04-12- pluto site13 cs gm 36625-17-3.xlsx","2","0.710568448235977","46","13","2021-04-12 10:52:22","393.968488680574","4.3697627536783","398.338251434252","-7.87539035747831","12","2021-04-12 10:52:02","449.097268945929","4.973343705283","454.070612651212","-9.44656028668378","406.930666344402","464.273270604571","0.0196862109677419","0.291948811727239","2.11806510962823","376.412065525342","0.000393721583942725","0.000452819684523746","0.000370506366636769","0.000214404580005349","7.66216985100812","8.14734209597834","4.20580299026692","0.0124184332867923","4.65395058339053e-06","-1.44656028668378","13.0711206528992","18.1289504766985","-0.0116802437904051","0.140565131043274","3356069.02785062","4.92894493654637","0.680889941165008"
"10","2021-04-12 10:55:04","0.00669012949159231","47.4479415731428","399.997258064516","217.287967247874","21.4116525371564","39.4159069826564","0.466554038430886","2.90217571923544","0.428536194282084","0.270992243454793","24.9860838709677","3.17704047266193","51.2835572925448","1.67655406333606","3.26918441669761","1.50048640932586","1800.00870967742","6","0.5","399.997258064516","460.145096774194","17.0138677419355","9.12242451612903","500.007741935484","98.4404580645161","0.0999848709677419","25.4664516129032","24.9860838709677","356.06","381.986","36625","17","3","17-3","C:\Users\eloch\Box Sync\Coralie things\2021-08-09 gm analysis\2021-04-12- pluto site13 cs gm 36625-17-3.xlsx","2","0.710568448235977","47","13","2021-04-12 10:55:22","393.998086108003","4.37055255253794","398.368638660541","-7.77061455739159","12","2021-04-12 10:55:02","449.208751860254","4.97537325851511","454.184125118769","-9.28826113251435","406.920550492064","464.381380867857","0.0196880916129032","0.291596274019304","2.11837643739813","376.373057161981","0.000393759133084214","0.000452968941025927","0.000370503361501677","0.000213899270277883","7.65023493188551","8.13724207991403","4.20605090635832","0.012395684155301","4.65439518035537e-06","-1.28826113251435","12.6030314758895","18.0942763955803","-0.0103544796121131","0.140558757405789","3362221.61247295","5.36104064189714","0.627158389025595"
"11","2021-04-12 10:58:04","0.00669822149744959","47.5406614321553","400.001387096774","216.861731781633","21.3719775086339","39.420604909043","0.466324918665511","2.90204146595823","0.428341174501165","0.270867629671583","25.0025","3.18015154456284","51.229233312158","1.67702651226966","3.27357331711552","1.50312503229318","1800.00451612903","6","0.5","400.001387096774","460.263806451613","17.0168096774194","9.1159235483871","500.012709677419","98.4511677419355","0.100002780645161","25.489035483871","25.0025","355.964","382.228","36625","17","3","17-3","C:\Users\eloch\Box Sync\Coralie things\2021-08-09 gm analysis\2021-04-12- pluto site13 cs gm 36625-17-3.xlsx","2","0.710568448235977","48","13","2021-04-12 10:58:22","394.051099453552","4.37103344992801","398.42213290348","-7.79494177588913","12","2021-04-12 10:58:02","449.286393800542","4.97616684397835","454.262560644521","-9.30147381246149","406.925968861693","464.498135947277","0.0196902335483871","0.291453074165944","2.11827844230528","376.330899197083","0.000393806036580714","0.000453135092145095","0.000370502164833254","0.000213502907324402","7.63765894863055","8.13501219494874","4.20612755992993","0.0124163878120985","4.65490154808206e-06","-1.30147381246149","12.5064176455484","18.0677379518423","-0.0104199640586392","0.140563127598624","3368549.68654988","5.4311771427539","0.620224602882654"
"12","2021-04-12 11:01:04","0.00669112100826949","47.6585215250959","399.978741935484","216.181212813349","21.3048363708551","39.4182340725114","0.465673946045001","2.90182775211898","0.427789017051526","0.270514637337119","25.0025806451613","3.18016683444821","51.2593728100646","1.67670014398299","3.27101182099086","1.50346669046523","1800.00806451613","6","0.5","399.978741935484","460.379806451613","17.0135580645161","9.12091580645161","500.006032258064","98.450835483871","0.0999871967741935","25.4758580645161","25.0025806451613","355.93","382.018","36625","17","3","17-3","C:\Users\eloch\Box Sync\Coralie things\2021-08-09 gm analysis\2021-04-12- pluto site13 cs gm 36625-17-3.xlsx","2","0.710568448235977","49","13","2021-04-12 11:01:22","394.015397470279","4.36882772406668","398.384225194346","-8.20577273135947","12","2021-04-12 11:01:02","449.301592918607","4.97434946848885","454.275942387096","-9.69679414057023","406.901585690167","464.617543952201","0.0196901670967742","0.291046216278125","2.11812244680217","376.252328190488","0.00039378241319336","0.000453247765850641","0.000370423560631052","0.000212832210173907","7.62204789170027","8.12778646289333","4.20636507581207","0.0124194135521455","4.6548858384809e-06","-1.69679414057023","12.3701198337622","18.0253988272377","-0.0135092794358096","0.140571936505196","3377838.57348634","5.52821633640613","0.611017798135277"
"1","2021-04-12 13:58:03","0.00488147768405162","38.8871761152682","399.842666666667","196.189578922502","19.3538649937758","39.4439961180346","0.334225887853195","2.9039876375365","0.31423167897413","0.19809144862491","24.99483","3.17869764771001","52.7675191705519","1.68399374250339","3.19134529910434","1.49470390520662","1800.01233333333","6","0.5","399.842666666667","448.848266666667","17.0705966666667","11.31296","500.012233333333","98.5487866666667","0.100005486666667","25.06145","24.99483","348.403","389.156","36625","17","15","17-15","C:\Users\eloch\Box Sync\Coralie things\2021-08-09 gm analysis\2021-04-12- pluto site13 cs gm 36625-17-15.xlsx","2","0.710568448235977","108","13","2021-04-12 13:58:22","393.462391562383","4.36113430349494","397.823525865878","-8.56080481741994","12","2021-04-12 13:58:02","438.802930241929","4.85840830721815","443.661338549147","-9.63714768856006","406.78675936513","453.984171438787","0.0197097573333333","0.208891179908247","2.1196990055011","380.598411297248","0.000394040096575645","0.000442334520774365","0.000375075116406047","0.000193342449594568","9.15912195068864","9.6789378152654","4.25825708132453","0.0123737402724779","4.6595171000788e-06","-1.63714768856006","10.6193976609639","16.7819379586273","-0.0144199505886052","0.140606929712101","2754558.21370465","6.03635331853984","0.456328194912713"
"2","2021-04-12 14:01:03","0.00501742108560745","39.3121320222825","399.943129032258","199.21087974492","19.6533263953667","39.4567448550995","0.343562956913568","2.90365842631472","0.322471595938934","0.203331732423523","25.0143096774193","3.18239127959582","52.6477708670773","1.68524657523673","3.20098372159301","1.49714470435909","1800.02032258065","6","0.5","399.943129032258","449.52464516129","17.0820677419355","11.1641387096774","500.010709677419","98.5558838709677","0.100004906451613","25.112064516129","25.0143096774193","348.321","388.914","36625","17","15","17-15","C:\Users\eloch\Box Sync\Coralie things\2021-08-09 gm analysis\2021-04-12- pluto site13 cs gm 36625-17-15.xlsx","2","0.710568448235977","109","13","2021-04-12 14:01:22","393.77325902574","4.36516272794546","398.138421753686","-8.42842489888074","12","2021-04-12 14:01:02","439.285510674616","4.86281999810603","444.148330672722","-9.82680456942841","406.893715036275","454.599861067649","0.0197111767741935","0.21472684807098","2.11945870533921","380.471192374947","0.000394167485798947","0.000443032987256541","0.000374976746519539","0.000196334043299736","9.06637554187407","9.65331905903772","4.25449321128187","0.0123905098567177","4.65985266529398e-06","-1.82680456942841","13.8016396122885","16.9694198155726","-0.0161672916093742","0.140576325885515","2784165.5827554","3.04337116900798","0.914829453307507"
"3","2021-04-12 14:04:03","0.00515289500303474","39.4655934173929","399.993870967742","203.722186309079","20.0974013636448","39.4598031440743","0.353690660775322","2.90396978753037","0.331383035213399","0.209001294385023","25.0016580645161","3.17999192199574","52.5945587615091","1.68381696972742","3.20150412776104","1.49617495226832","1799.97838709677","6","0.5","399.993870967742","449.824774193548","17.0684193548387","10.9906290322581","500.01164516129","98.5510129032258","0.10000654516129","25.1147935483871","25.0016580645161","348.474","388.65","36625","17","15","17-15","C:\Users\eloch\Box Sync\Coralie things\2021-08-09 gm analysis\2021-04-12- pluto site13 cs gm 36625-17-15.xlsx","2","0.710568448235977","110","13","2021-04-12 14:04:22","393.621885690595","4.36170439151915","397.983590082114","-8.83298375992425","12","2021-04-12 14:04:02","439.598230103967","4.86526451319093","444.463494617158","-10.0337885832285","406.939688218381","454.823571341287","0.0197102025806452","0.221056662984576","2.11968597629954","380.42667731128","0.000394198011389532","0.00044330687125739","0.000374914343844353","0.000200770278116194","9.02702429765705","9.56248725257278","4.2504583555405","0.0123798208615938","4.65962235949058e-06","-2.03378858322845","11.7207965877091","17.2521579650032","-0.01834355758085","0.140555487538166","2795120.81498109","5.40914944733684","0.51673943236256"
"4","2021-04-12 14:07:03","0.00527888771508706","39.7585681812748","399.916258064516","206.742597496768","20.3965462552019","39.4544257186652","0.362840603544524","2.90384677220207","0.339403949189983","0.214106882116598","25.0034870967742","3.18033869717884","52.5174183888861","1.68371693108423","3.20601618041556","1.49662176609461","1800.01387096774","6","0.5","399.916258064516","450.158935483871","17.0664193548387","10.8399806451613","500.00935483871","98.5567322580645","0.0999863","25.1384387096774","25.0034870967742","348.324","388.393","36625","17","15","17-15","C:\Users\eloch\Box Sync\Coralie things\2021-08-09 gm analysis\2021-04-12- pluto site13 cs gm 36625-17-15.xlsx","2","0.710568448235977","111","13","2021-04-12 14:07:22","393.634391636872","4.36438501978709","397.998776656659","-8.25533879864881","12","2021-04-12 14:07:02","439.9116265482","4.8705295029101","444.78215605111","-9.66851053690665","406.85989973201","455.092125314041","0.0197113464516129","0.226775377215327","2.1195961840891","380.187213536343","0.000394144395717115","0.000443661936780592","0.000374700094124409","0.000203758748278258","8.95969240903663","9.50726864557947","4.24680330276248","0.0123800460322976","4.65989277815908e-06","-1.66851053690665","13.7332885794979","17.4449028370127","-0.0151697373800183","0.14058282886754","2815564.73260645","3.5862011660273","0.785110651147733"
"5","2021-04-12 14:10:03","0.00539276708793194","39.6296489912872","400.184903225806","211.383586442712","20.8547946109963","39.4816556178424","0.370982089401027","2.90321476939462","0.346514958409628","0.218635510102194","24.9933709677419","3.1784211447136","52.3854467982652","1.68082315481322","3.20856890137068","1.49759798990037","1800.00548387097","6","0.5","400.184903225806","450.328967741936","17.0367741935484","10.6758612903226","500.01235483871","98.5585","0.100033341935484","25.1518032258065","24.9933709677419","348.475","388.629","36625","17","15","17-15","C:\Users\eloch\Box Sync\Coralie things\2021-08-09 gm analysis\2021-04-12- pluto site13 cs gm 36625-17-15.xlsx","2","0.710568448235977","112","13","2021-04-12 14:10:22","393.726236047091","4.36460164955516","398.090837696646","-8.43746823891411","12","2021-04-12 14:10:02","440.041514448965","4.87244658539128","444.913961034357","-9.57114061948228","407.120930589731","455.188496996825","0.0197117","0.231863805875642","2.11913486817126","380.490710799942","0.000394416237845806","0.000443837475671936","0.000375005937203761","0.000208336492044141","8.98070334121154","9.50201373422752","4.24353240145706","0.0123851140815866","4.65997635933806e-06","-1.57114061948228","10.983152930617","17.7295655542296","-0.0146496427997089","0.14048987948109","2804362.27377855","6.62057238693127","0.423583054437142"
"6","2021-04-12 14:13:03","0.00550381093288171","40.0816723104812","400.100483870968","213.119994013295","21.0261197546215","39.4733526842544","0.379537132979856","2.9039312260487","0.353976089993845","0.223387996937534","24.9922870967742","3.17821575260116","52.372579943557","1.6820033809113","3.21161069919417","1.49621237168987","1800.00161290323","6","0.5","400.100483870968","450.839677419355","17.0487258064516","10.5569193548387","500.012870967742","98.5586032258065","0.0999944903225807","25.1677161290323","24.9922870967742","348.455","388.503","36625","17","15","17-15","C:\Users\eloch\Box Sync\Coralie things\2021-08-09 gm analysis\2021-04-12- pluto site13 cs gm 36625-17-15.xlsx","2","0.710568448235977","113","13","2021-04-12 14:13:22","393.688711854966","4.36565022606546","398.054362081031","-8.10471680017033","12","2021-04-12 14:13:02","440.051497680647","4.87196937055539","444.923467051203","-9.69061190093745","407.039997175065","455.649937058923","0.0197117206451613","0.23721070811241","2.11965782923263","380.177964181877","0.000394333448402919","0.000444341288852248","0.000374698091269964","0.000210048089294426","8.88543246138541","9.49289446287402","4.24017701763225","0.0123711840861671","4.65998123999085e-06","-1.69061190093745","15.4116604247773","17.840709527316","-0.0157228032178489","0.140515606779047","2837050.67934803","2.30425629897757","1.23122183960476"
